name,lat,lon
Bassinkil,13.1,-16.2
Bassoum,12.98,-14.5
Batabout,13,-16.22
Batal,14.63,-16.48
Batan Gnima,12.71,-15.85
Batankigne,13.02,-16.18
Batekel,12.98,-16.18
Bathias,15.87,-16.35
Batiaré Ouro Guéladjo,14.4,-15.68
Batimba,12.48,-12.55
Batinding Dieme,13.03,-16.23
Batindié,12.82,-16.2
Batinier,12.55,-16.41
Batinier,12.5,-16.48
Batoulane,14.12,-14.6
Batranké,12.69,-12.35
Battal,15.23,-16.23
Battel,15.08,-16.53
Batéguélé,13.08,-15.88
Baya,12.97,-15.77
Bayakh,15.68,-16.42
Bayakh,15.75,-16.45
Bayakh,15.63,-16.22
Bayakh,14.83,-17.14
Bayamba,13.1,-15.48
Bayandour,14.22,-15.73
Bayanka,13.13,-15.92
Bayar,14.67,-16.43
Baye,15.13,-16.89
Baye Baye,15.83,-16.4
Baye Diang,15.6,-15.52
Baye Menké,14.58,-16.4
Baye Yar,15.65,-16.4
Bayelar,15.12,-16.48
Bayer,15.2,-16.42
Bayfora,12.49,-15.92
Bayiti,16.05,-16.16
Bayottes,12.52,-16.28
Bayène,14.75,-16.18
Bayène,13.32,-14.72
Bayène,14.97,-15.97
Bayène Diak,14.67,-16.75
Begaye,16.13,-16.27
Begaye Ardo,15.9,-16.18
Begne Pinda,15.53,-16.57
Beguel,15.18,-16.47
Bel Tiaski,15.33,-15.63
Bel Tiaski Boki,15.32,-15.64
Bel-Air,14.7,-17.42
Bela,14.23,-15.68
Belakadio,14.33,-16.3
Belal,13.33,-14.65
Belan,12.56,-15.48
Belaye,12.9,-16.4
Belbouk,14.27,-16.25
Belbouk,14.03,-15.4
Beldjimbara,14.1,-12.37
Bele,14.53,-14.97
Bele,14.32,-13.03
Belekinndi,13.74,-12.34
Belel,15.18,-13.75
Belel,14.05,-14.57
Belel Babo,14.13,-14.7
Belel Bandia,15.45,-15.4
Belel Baouami,15.92,-15.32
Belel Baoude,15.83,-15.24
Belel Beloki,15.51,-15.36
Belel Bobori,16.11,-14.08
Belel Diamala,14.5,-14.48
Belel Fando,15.37,-15.98
Belel Goloki,15.35,-15.98
Belel Mbodi,15.88,-14.23
Belel Ndiobo,15.62,-15.4
Belel Tiaski,15.62,-15.48
Belel Tiodi,15.7,-14.1
Belel-Boukar,15.54,-14.29
Belelane,14.73,-17.27
Belfadak,14.32,-16.1
Belgarki,15.44,-15.88
Belgor,15.37,-16.38
Beli Diori,15.12,-15.12
Beli-Oli,16.27,-14.99
Beliguel,15.61,-15.45
Belil Nelbi,15.17,-15.19
Belimaounde,13.07,-14.85
Belkagne,15.42,-14.86
Belkhor,14.48,-15.85
Belki,14.62,-16.15
Belkindi,16.1,-13.63
Belkoum,16,-14.53
Bellahor,15.35,-16.35
Belli,15.08,-15.58
Belli,15.23,-16.67
Bellé,14.41,-12.3
Belnaide Mbaila,15.47,-13.36
Belogne,14.13,-15.05
Belongui,14.25,-16.28
Belrout,14.57,-16.53
Beltiasdé,15.35,-15.62
Bem-Bem,14.82,-14.4
Bema,14.83,-12.46
Bema,12.68,-16.38
Bemba Badiane,15.4,-15.72
Bembo,12.82,-11.88
Bemet Diatakounda,12.71,-16
Bemet-Vouli,12.72,-15.99
Ben Guen,14.9,-16.47
Bene Barak,14.78,-17.36
Bene Djouma,14.02,-15.58
Bene Tali,14.71,-17.45
Bene Tanka,14.73,-17.24
Bengadji,15.65,-16.33
Bengen,15.35,-16.42
Bennguene,14.95,-15.88
Benntingui,15.08,-15.4
Benntingui,14.07,-15.4
Benou,14.74,-17.32
Beraye,16.15,-16.38
Berdiouga,15.57,-16.57
Bereup,14.97,-17.09
Bereup Sow,14.96,-17.04
Beridiam,14.77,-17.12
Berkhom,15.37,-16.65
Bernal,12.55,-16.32
Berr Kalane,14.86,-17.14
Bessoloum,12.47,-16.02
Bessoloum,12.46,-15.99
Betchou,15.47,-15.31
Betenti,13.69,-16.63
Beteou,14.48,-15.88
Beto,14.85,-15.97
Beul,15.56,-16.25
Beul,14.88,-17.07
Beulle,15.15,-16.28
Beuno Mboro,15.2,-16.88
Beurleup,15.13,-16.37
Beye Madji,15.84,-14.38
Biarou,13.05,-14.03
Biba,15.05,-16
Bibi,15.07,-15.98
Bichiri,15.9,-13.42
Bidal,15.57,-13.22
Bidem,15.53,-16.32
Bidiam,15.86,-16.32
Bidiam,14.2,-15.72
Bidjika,14.35,-15.83
Bignona,12.81,-16.23
Bikol,14.42,-16.45
Bil,14.43,-16.02
Bil,14.1,-16.13
Bilassar,12.51,-15.61
Bilel,12.56,-12.77
Bilore,14.56,-17.06
Binako,12.59,-15.54
Binandar,14.47,-16.45
Binbaba,12.51,-15.86
Bindiguéa,12.77,-11.76
Bine Abdou Gueye,14.43,-15.93
Binedou,15.28,-16.33
Binguil,14.57,-12.85
Binguène,15.62,-16.42
Binndago,12.83,-16.23
Binndago,12.79,-16.28
Binndiou,14.37,-15.97
Binngel,14.4,-15.5
